Gene ID	Associated Gene Name	Chromosome/scaffold name	Gene Start (bp)	Gene End (bp)	Strand
ENSMUSG00000027175	Tcp11l1	2	104657288	104712169	-1
ENSMUSG00000019297	Nop9	14	55745693	55755500	1
ENSMUSG00000106601	Ighv1-70	12	115691889	115692322	-1
ENSMUSG00000032235	Ice2	9	69397906	69433122	1
ENSMUSG00000078619	Smarcd2	11	106263179	106272972	-1
ENSMUSG00000026126	Ptpn18	1	34459762	34475733	1
ENSMUSG00000111852	RP23-314E23.2	9	59499361	59512865	-1
ENSMUSG00000105786	Gm18957	5	26355418	26357230	1
ENSMUSG00000051495	Irf2bp2	8	126588296	126593986	-1
ENSMUSG00000083337	Gm11539	11	96248633	96249189	1
ENSMUSG00000030880	Polr3e	7	120917744	120947432	1
ENSMUSG00000096577	Ighv1-71	12	115742205	115742647	-1
ENSMUSG00000097060	Gm26759	8	126566970	126590988	1
ENSMUSG00000095201	Vmn1r91	7	20101158	20102081	1
ENSMUSG00000078706	Gm53	11	96251105	96264868	1
ENSMUSG00000074912	Gm14207	2	119321187	119326194	-1
ENSMUSG00000096152	Gm16442	7	20121656	20122579	-1
ENSMUSG00000085718	Rpl9-ps3	11	53501184	53501759	1
ENSMUSG00000098053	Gm27033	5	147280720	147281263	1
ENSMUSG00000096164	Vmn1r93	7	20138123	20139088	-1
ENSMUSG00000108311	Gm44737	7	73630617	73638088	1
ENSMUSG00000096074	Ighv1-72	12	115757984	115758461	-1
ENSMUSG00000108248	Gm34391	6	135171199	135172105	-1
ENSMUSG00000108550	Gm44736	7	73670299	73672390	-1
ENSMUSG00000027176	Cstf3	2	104590523	104665429	1
ENSMUSG00000108239	Gm19434	6	135188480	135194960	1
ENSMUSG00000108473	Gm44739	7	73676880	73678305	-1
ENSMUSG00000029646	Cdx2	5	147300805	147307270	-1
ENSMUSG00000029044	4930584F24Rik	5	26460070	26493314	-1
ENSMUSG00000042770	Hebp1	6	135137522	135198022	-1
ENSMUSG00000108337	Gm4971	7	73685494	73686601	-1
ENSMUSG00000053702	Nebl	2	17343909	17731464	-1
ENSMUSG00000040447	Spns2	11	72451638	72489904	-1
ENSMUSG00000059504	Olfr314	11	58782952	58788768	1
ENSMUSG00000093865	Lrit3	3	129787881	129804030	-1
ENSMUSG00000100280	Gm28417	1	34468834	34473148	-1
ENSMUSG00000019876	Pkib	10	57631981	57741112	1
ENSMUSG00000108485	Gm18805	7	73688235	73689167	-1
ENSMUSG00000075543	Urad	5	147314984	147322440	-1
ENSMUSG00000032259	Drd2	9	49340627	49408177	1
ENSMUSG00000103339	Gm37996	3	12384243	12384609	-1
ENSMUSG00000029777	Gars	6	55038007	55079500	1
ENSMUSG00000108687	Gm45007	7	73706175	73706540	-1
ENSMUSG00000049988	Lrrc25	8	70616155	70620890	1
ENSMUSG00000104177	Gm2429	3	12631260	12631845	1
ENSMUSG00000106939	Gm29778	5	147325869	147326334	-1
ENSMUSG00000080742	Gm14035	2	54284115	54285589	1
ENSMUSG00000095661	Gm8935	3	12855836	12858633	1
ENSMUSG00000027313	Chac1	2	119351229	119354381	1
ENSMUSG00000097534	Gm16675	8	46668808	46739515	-1
ENSMUSG00000083649	Rasl2-9	7	5124938	5125950	-1
ENSMUSG00000091890	A830073O21Rik	7	73737929	73741024	-1
ENSMUSG00000103950	Gm8939	3	12892451	12893414	-1
ENSMUSG00000078670	Fam174b	7	73740302	73776919	1
ENSMUSG00000098070	Gm8609	16	39934002	39934999	1
ENSMUSG00000032257	Ankk1	9	49415194	49427021	-1
ENSMUSG00000109661	Gm3690	7	9714224	9714485	-1
ENSMUSG00000103735	Gm38317	3	12975359	12975701	1
ENSMUSG00000109862	Vmn2r-ps50	7	9747811	9747930	-1
ENSMUSG00000109636	Gm45644	8	57696723	57699462	1
ENSMUSG00000040463	Mybbp1a	11	72441355	72451768	1
ENSMUSG00000108412	Gm45005	7	73754589	73754745	1
ENSMUSG00000090342	Vmn2r46	7	9754636	9770571	-1
ENSMUSG00000005774	Rfx5	3	94954075	94961561	1
ENSMUSG00000092292	Olfr113	17	37573877	37577663	-1
ENSMUSG00000006215	Zbtb17	4	141444654	141467930	1
ENSMUSG00000098875	Gm27211	9	73192483	73268115	1
ENSMUSG00000110306	Gm18192	7	9788326	9792902	-1
ENSMUSG00000069744	Psmb3	11	97703399	97713500	1
ENSMUSG00000097228	Gm26597	5	147399554	147401917	1
ENSMUSG00000042817	Flt3	5	147330741	147400489	-1
ENSMUSG00000043467	Zbtb37	1	161002922	161034849	-1
ENSMUSG00000094504	Gm5294	5	138820080	138821619	1
ENSMUSG00000087001	Gm15475	6	84093772	84107007	-1
ENSMUSG00000028228	Cpne3	4	19519254	19570108	-1
ENSMUSG00000108142	Gm7498	6	84031588	84032671	1
ENSMUSG00000085100	Gm13324	2	17559060	17559998	1
ENSMUSG00000102855	Gm38002	3	25184800	25184979	-1
ENSMUSG00000111006	RP23-225H6.2	10	21030490	21033793	-1
ENSMUSG00000069083	Gm10259	3	25211016	25212605	-1
ENSMUSG00000040364	Sec1	7	45677686	45694402	-1
ENSMUSG00000019986	Ahi1	10	20952547	21080429	1
ENSMUSG00000070564	Ntn5	7	45684022	45694556	1
ENSMUSG00000021870	Slmap	14	26413168	26534931	-1
ENSMUSG00000028012	Rrh	3	129804408	129822587	-1
ENSMUSG00000026112	Coa5	1	37417084	37430103	-1
ENSMUSG00000021852	Slc35f4	14	49298519	49526046	-1
ENSMUSG00000036273	Lrrk2	15	91673175	91816120	1
ENSMUSG00000094107	Vmn2r47	7	9816782	9841325	-1
ENSMUSG00000106531	Gm43233	3	107781856	107782471	1
ENSMUSG00000091215	Pate1	9	35685079	35687390	-1
ENSMUSG00000110437	RP24-553O21.4	8	126057816	126060524	-1
ENSMUSG00000010044	Zmynd10	9	107547298	107551319	1
ENSMUSG00000039959	Hip1	5	135406531	135545120	-1
ENSMUSG00000064223	Olfr694	7	106684980	106692695	-1
ENSMUSG00000026405	C4bp	1	130634773	130661632	-1
ENSMUSG00000067261	Foxd3	4	99656299	99658622	1
ENSMUSG00000030317	Timp4	6	115241892	115252205	-1
ENSMUSG00000109011	Gm44857	7	106685003	106685198	1
ENSMUSG00000083183	Gm15575	16	38748729	38750309	-1
ENSMUSG00000086096	Gm12688	4	99653607	99654983	-1
ENSMUSG00000087332	Gm12690	4	99569500	99573011	1
ENSMUSG00000083698	Gm12687	4	99615817	99616522	-1
ENSMUSG00000034278	Dnajc17	2	119172500	119208795	-1
ENSMUSG00000041477	Dcp1b	6	119175253	119221616	1
ENSMUSG00000110698	RP24-553O21.3	8	126029248	126046808	-1
ENSMUSG00000100867	Gm18981	6	118617626	118619224	-1
ENSMUSG00000055926	Gm14137	2	119174509	119177575	1
ENSMUSG00000066652	Lefty2	1	180893108	180899103	1
ENSMUSG00000081572	Gm14138	2	119187517	119188261	1
ENSMUSG00000008461	Fut1	7	45617289	45621059	1
ENSMUSG00000030051	Aplf	6	87628424	87672193	-1
ENSMUSG00000033998	Kcnk1	8	125995170	126030685	1
ENSMUSG00000107593	Gm44097	6	87657754	87663823	1
ENSMUSG00000051680	Olfr693	7	106675005	106680584	-1
ENSMUSG00000103575	Gm37117	4	99525932	99530662	1
ENSMUSG00000037366	Pafah2	4	134396320	134427413	1
ENSMUSG00000060550	H2-Q7	17	35439155	35443773	1
ENSMUSG00000030827	Fgf21	7	45613886	45615490	-1
ENSMUSG00000080803	Gm12683	4	99520052	99520466	-1
ENSMUSG00000109632	Gm45443	7	45597140	45599569	1
ENSMUSG00000026301	Iqca	1	90042132	90153401	-1
ENSMUSG00000023027	Atf1	15	100227819	100261244	1
ENSMUSG00000022793	B4galt4	16	38742264	38769049	1
ENSMUSG00000087003	Cntrobos	11	69294151	69295477	1
ENSMUSG00000032566	1700080E11Rik	9	105143342	105145092	-1
ENSMUSG00000106627	Gm21680	5	25965961	25972663	-1
ENSMUSG00000009394	Syn2	6	115134902	115282006	1
ENSMUSG00000028098	Rnf115	3	96727664	96791638	1
ENSMUSG00000027282	Mtch2	2	90847155	90866810	1
ENSMUSG00000081392	Gm11668	11	109007651	109008781	1
ENSMUSG00000104651	Gm21168	5	25956626	25957721	1
ENSMUSG00000107489	Gm18325	6	115159097	115159931	-1
ENSMUSG00000081429	Rps27-ps1	1	63073774	63074019	1
ENSMUSG00000045349	Sh2d5	4	138250403	138261332	1
ENSMUSG00000094004	Gm5128	X	135373284	135383393	1
ENSMUSG00000006014	Prg4	1	150449412	150466165	-1
ENSMUSG00000006057	Atp5g1	11	96068852	96075670	-1
ENSMUSG00000032358	Fam83b	9	76490054	76567116	-1
ENSMUSG00000095335	Igkv3-5	6	70663275	70663895	1
ENSMUSG00000061524	Zic2	14	122475435	122479852	1
ENSMUSG00000068580	Zfyve19	2	119208617	119217049	1
ENSMUSG00000107716	Gm43997	6	94799432	94800436	1
ENSMUSG00000040471	Ggt6	11	72435526	72438400	1
ENSMUSG00000061969	Gm5581	6	131166104	131182379	-1
ENSMUSG00000031397	Tktl1	X	74177259	74208500	1
ENSMUSG00000029027	Dffb	4	153964449	153975126	-1
ENSMUSG00000108265	Olfr318	11	58717197	58724014	-1
ENSMUSG00000092345	Gm20503	4	59003210	59041888	1
ENSMUSG00000068874	Selenbp1	3	94933056	94944758	1
ENSMUSG00000020375	Rufy1	11	50389286	50431125	-1
ENSMUSG00000060427	Zfp868	8	69610857	69625548	-1
ENSMUSG00000018819	Lsp1	7	142460809	142494867	1
ENSMUSG00000028758	Kif17	4	138250435	138301967	1
ENSMUSG00000055944	E130018O15Rik	5	35379152	35388476	-1
ENSMUSG00000044165	Bcl2l15	3	103832601	103854618	1
ENSMUSG00000094626	Cecr6	6	120488939	120493807	-1
ENSMUSG00000108748	Gm44579	15	98186017	98220977	-1
ENSMUSG00000038607	Gng10	4	59035088	59041903	1
ENSMUSG00000081525	Gm13325	2	17169225	17170030	1
ENSMUSG00000082443	Gm12604	4	87580789	87581560	1
ENSMUSG00000032565	Nudt16	9	105128903	105131824	-1
ENSMUSG00000086512	Gm12600	4	87298362	87301270	1
ENSMUSG00000075427	Olfr288	15	98186013	98195542	-1
ENSMUSG00000072708	Olfr381	11	73484274	73491603	-1
ENSMUSG00000041730	Prrxl1	14	32599407	32649246	1
ENSMUSG00000106604	Gm42535	5	48324612	48326010	1
ENSMUSG00000102310	Gm37631	10	98486510	98486873	-1
ENSMUSG00000030204	Ddx47	6	135011612	135023776	1
ENSMUSG00000025059	Gk	X	85701937	85776819	-1
ENSMUSG00000099918	Gm28066	1	80949426	80949897	1
ENSMUSG00000082235	Gm13326	2	16978821	16979831	-1
ENSMUSG00000027177	Hipk3	2	104426481	104494446	-1
ENSMUSG00000090129	Olfr287	15	98206971	98221056	-1
ENSMUSG00000017146	Brca1	11	101488764	101551955	-1
ENSMUSG00000087232	Gm14764	X	85744348	85749764	1
ENSMUSG00000108742	Gm44923	11	73483774	73483858	-1
ENSMUSG00000110426	RP23-431O7.3	8	95045981	95047460	1
ENSMUSG00000081933	Gm14767	X	85716438	85717023	1
ENSMUSG00000099949	Gm29124	1	80897654	80898105	-1
ENSMUSG00000015134	Aldh1a3	7	66390890	66427517	-1
ENSMUSG00000028099	Polr3c	3	96711490	96727628	-1
ENSMUSG00000104795	Gm42783	3	96724526	96725320	-1
ENSMUSG00000070972	Dnajc25	4	58995062	59025573	1
ENSMUSG00000105976	Gm42782	3	96784325	96784846	1
ENSMUSG00000106762	4930478P22Rik	5	35361541	35367677	1
ENSMUSG00000073902	Gm1966	7	106596743	106604035	-1
ENSMUSG00000107386	Gm42800	5	75387775	75399372	-1
ENSMUSG00000030738	Eif3c	7	126546455	126566411	-1
ENSMUSG00000063286	Gm8995	7	106504239	106511671	-1
ENSMUSG00000072709	Olfr380	11	73452886	73457508	-1
ENSMUSG00000106689	Gm18345	5	75342443	75343832	1
ENSMUSG00000027534	Snx16	3	10417817	10440102	-1
ENSMUSG00000044367	Slc16a13	11	70216789	70221064	-1
ENSMUSG00000104251	Gm18036	1	180874878	180875326	1
ENSMUSG00000073409	H2-Q6	17	35424850	35430055	1
ENSMUSG00000031367	Ap1s2	X	163909017	163933666	1
ENSMUSG00000053541	Gm4759	7	106417848	106424469	-1
ENSMUSG00000000881	Dlg3	X	100767722	100818410	1
ENSMUSG00000087428	Gm15017	X	135329761	135349127	1
ENSMUSG00000111594	RP23-468H22.7	8	69554802	69585162	-1
ENSMUSG00000095457	Gm8989	7	106323414	106330688	-1
ENSMUSG00000027536	Chmp4c	3	10366907	10428856	1
ENSMUSG00000064109	Hcst	7	30417712	30419854	-1
ENSMUSG00000095599	Gm6215	X	135349021	135352023	1
ENSMUSG00000110434	Rps7-ps1	8	69540957	69541347	1
ENSMUSG00000084131	Rpl3-ps2	X	74170653	74171866	1
ENSMUSG00000029458	Brap	5	121660563	121687256	1
ENSMUSG00000098945	Gm27150	7	106286445	106287482	-1
ENSMUSG00000092560	Gm8750	17	35400799	35403727	1
ENSMUSG00000100241	Slc18a3	14	32462438	32464850	-1
ENSMUSG00000084387	Olfr379-ps1	11	73433291	73434224	-1
ENSMUSG00000083105	Gm12393	4	19259096	19259943	1
ENSMUSG00000098934	Gm18853	7	106186404	106189999	-1
ENSMUSG00000029526	1700123K08Rik	5	138561840	138564712	-1
ENSMUSG00000030701	Plekhb1	7	100642892	100662414	-1
ENSMUSG00000056116	H2-T22	17	36037128	36042747	-1
ENSMUSG00000041453	Rpl21	5	146832890	146837032	1
ENSMUSG00000106824	Gm7697	8	69481346	69522976	-1
ENSMUSG00000081150	Gm12684	4	99430256	99431254	-1
ENSMUSG00000045868	Gvin1	7	106156556	106215326	-1
ENSMUSG00000066828	Vmn2r37	7	9205546	9223653	-1
ENSMUSG00000082442	Gm12686	4	99418773	99419169	1
ENSMUSG00000092368	A930015D03Rik	17	35994453	36038435	1
ENSMUSG00000005779	Psmb4	3	94884093	94886961	-1
ENSMUSG00000062564	Tex28	X	74150944	74167838	-1
ENSMUSG00000104668	Vmn2r-ps24	5	138532077	138532934	1
ENSMUSG00000092548	Vmn2r-ps41	7	9176976	9180099	-1
ENSMUSG00000045667	Smtnl2	11	72389164	72411713	-1
ENSMUSG00000092620	Gm18201	7	9143254	9149393	-1
ENSMUSG00000046440	Gm5564	5	138504813	138505779	1
ENSMUSG00000067360	Pramel3	X	135302307	135312652	1
ENSMUSG00000031853	BC021891	8	125910450	125947440	1
ENSMUSG00000063681	Crb1	1	139197056	139377100	-1
ENSMUSG00000105792	Gm17887	3	36421576	36422122	1
ENSMUSG00000092575	Gm5583	7	9118044	9131037	-1
ENSMUSG00000101634	1700066B17Rik	1	39839175	39847334	-1
ENSMUSG00000038806	Sde2	1	180851127	180868113	1
ENSMUSG00000103979	Gm20305	1	180854282	180854458	-1
ENSMUSG00000093394	Gm20621	15	88889780	88891525	-1
ENSMUSG00000081184	Gm12685	4	99418498	99418711	-1
ENSMUSG00000046814	Gchfr	2	119167773	119172390	1
ENSMUSG00000110734	RP23-47P24.1	9	11277000	11278043	-1
ENSMUSG00000051396	Hspa14	2	3504527	3512790	-1
ENSMUSG00000098987	Gm8982	7	106123174	106124730	1
ENSMUSG00000110942	RP23-218O15.1	9	11238604	11238870	-1
ENSMUSG00000034456	Uroc1	6	90333284	90364551	1
ENSMUSG00000020331	Hcn2	10	79716634	79736108	1
ENSMUSG00000016283	H2-M2	17	37480851	37483552	-1
ENSMUSG00000099241	Gm18852	7	105925000	105928592	-1
ENSMUSG00000067081	Asb18	1	89950220	90014666	-1
ENSMUSG00000036898	Zfp157	5	138441468	138460694	1
ENSMUSG00000093378	Gm20663	7	105901568	106093337	1
ENSMUSG00000104845	Gm43741	5	146795918	146806433	1
ENSMUSG00000099276	Gm27228	7	106038167	106039204	-1
ENSMUSG00000098426	Gm27149	7	106091210	106092475	-1
ENSMUSG00000095649	Gm8979	7	106076751	106084046	-1
ENSMUSG00000071015	Gm136	4	34743784	34756263	-1
ENSMUSG00000067212	H2-T23	17	36029773	36032855	-1
ENSMUSG00000051652	Lrrc3	10	77897575	77902536	-1
ENSMUSG00000105281	Gm17835	3	36394699	36395197	-1
ENSMUSG00000061244	Exoc5	14	49012146	49066653	-1
ENSMUSG00000092386	Gm20536	6	72609836	72616190	1
ENSMUSG00000048175	Asb8	15	98134637	98165625	-1
ENSMUSG00000002395	Use1	8	71366848	71369732	1
ENSMUSG00000078606	Gm4070	7	105895139	105953967	-1
ENSMUSG00000096573	1700009J07Rik	10	77893417	77896114	1
ENSMUSG00000025968	Ndufs1	1	63143596	63176833	-1
ENSMUSG00000059866	Tnip2	5	34496087	34513991	-1
ENSMUSG00000093796	Rps12-ps23	X	123735811	123736212	1
ENSMUSG00000053835	H2-T24	17	36005695	36020560	-1
ENSMUSG00000032952	Ap4b1	3	103809520	103822025	1
ENSMUSG00000079407	1700110I01Rik	14	3262340	3305832	1
ENSMUSG00000081617	Rps13-ps7	1	63038214	63038581	1
ENSMUSG00000056429	Tgoln1	6	72608432	72617000	-1
ENSMUSG00000022388	Ttll8	15	88890633	88954418	-1
ENSMUSG00000019877	Serinc1	10	57515774	57532530	-1
ENSMUSG00000106683	Gm43263	8	69473492	69474842	-1
ENSMUSG00000029478	Ncor2	5	125017153	125179219	-1
ENSMUSG00000110536	RP23-468H22.4	8	69470069	69470406	1
ENSMUSG00000105053	Gm43064	3	103809573	103838648	1
ENSMUSG00000107584	Gm18716	6	65416020	65417622	1
ENSMUSG00000111691	RP23-120N6.2	9	11148600	11167495	1
ENSMUSG00000029640	Usp12	5	146734809	146795006	-1
ENSMUSG00000110951	RP23-120N6.1	9	11102513	11119398	1
ENSMUSG00000032180	Tmed1	9	21507553	21510252	-1
ENSMUSG00000109865	Hspa14	2	3488850	3512814	-1
ENSMUSG00000110141	Gm45684	7	105885296	105886866	-1
ENSMUSG00000111568	RP23-24C14.2	9	11014450	11014813	1
ENSMUSG00000045318	Adra2c	5	35278319	35281763	1
ENSMUSG00000106663	Gm42839	5	125086841	125090359	1
ENSMUSG00000104571	Gm43010	3	126625880	126628757	1
ENSMUSG00000110181	Gm45508	7	16403964	16404262	-1
ENSMUSG00000106475	Gm43011	3	126600029	126604461	1
ENSMUSG00000105774	Gm43006	3	126657722	126659323	1
ENSMUSG00000097486	Gm17733	6	115127600	115134835	-1
ENSMUSG00000006005	Tpr	1	150392838	150449935	1
ENSMUSG00000000142	Axin2	11	108920349	108950783	1
ENSMUSG00000029917	C130060K24Rik	6	65381105	65458150	1
ENSMUSG00000010057	Nprl2	9	107542226	107545706	1
ENSMUSG00000032268	Tmprss5	9	49081260	49117587	1
ENSMUSG00000106020	4930573C15Rik	5	146706622	146707496	1
ENSMUSG00000107596	Gm18913	6	65432160	65433948	1
ENSMUSG00000055971	Olfr378	11	73424609	73428477	-1
ENSMUSG00000006469	Slc34a3	2	25228898	25234364	-1
ENSMUSG00000086268	Gm11670	11	108939310	108942015	-1
ENSMUSG00000105907	Gm34333	5	146586645	146600102	-1
ENSMUSG00000036492	Rnf39	17	36942918	36947986	1
ENSMUSG00000108673	Gm44922	11	73413319	73413408	-1
ENSMUSG00000018334	Ksr1	11	79013440	79146407	-1
ENSMUSG00000041468	Gpr12	5	146582398	146585239	-1
ENSMUSG00000082071	Pramel	X	135270853	135274214	1
ENSMUSG00000085941	Gm11201	11	79023597	79031057	1
ENSMUSG00000091937	Gm3646	1	39804148	39805332	-1
ENSMUSG00000032101	Ddx25	9	35536647	35558528	-1
ENSMUSG00000030579	Tyrobp	7	30413760	30417585	1
ENSMUSG00000094090	Gm8494	5	146574888	146576120	1
ENSMUSG00000059273	Zc3h4	7	16400910	16437696	1
ENSMUSG00000098894	Gm27234	9	76319577	76320846	1
ENSMUSG00000109647	Gm45510	7	16413908	16416621	-1
ENSMUSG00000106704	Gm42799	5	75246443	75246770	1
ENSMUSG00000109781	Gm45509	7	16406755	16407983	-1
ENSMUSG00000027244	Atg13	2	91674618	91710576	-1
ENSMUSG00000040865	Ino80d	1	62958418	63114667	-1
ENSMUSG00000055413	H2-Q5	17	35394126	35397800	1
ENSMUSG00000063851	Rnf183	4	62427540	62435252	-1
ENSMUSG00000095557	Gm3415	5	146556136	146558915	1
ENSMUSG00000060743	H3f3a	1	180800832	180813943	-1
ENSMUSG00000101599	Gm20342	1	63117118	63126837	1
ENSMUSG00000051452	Gm11437	11	84148351	84167476	-1
ENSMUSG00000002897	Il17ra	6	120463247	120487559	1
ENSMUSG00000073485	H3f3aos	1	180813776	180816859	1
ENSMUSG00000103097	Gm37556	4	99376066	99385712	-1
ENSMUSG00000106667	Igkv3-6	6	70642405	70642979	1
ENSMUSG00000056666	Retsat	6	72598475	72608425	1
ENSMUSG00000070891	Gm12689	4	99295900	99297258	1
ENSMUSG00000086278	Olfr75-ps1	11	73404076	73409887	-1
ENSMUSG00000007880	Arid1a	4	133679008	133756769	-1
ENSMUSG00000107280	Gm9495	8	69427980	69453565	-1
ENSMUSG00000108368	Gm45053	6	72603004	72605502	-1
ENSMUSG00000090099	Gm8837	6	131130944	131132687	1
ENSMUSG00000110474	RP23-468H22.6	8	69419497	69425233	1
ENSMUSG00000104479	Gm10305	4	99272671	99275145	1
ENSMUSG00000060470	Adgrg3	8	95017692	95045250	1
ENSMUSG00000064044	Olfr319	11	58699162	58703472	1
ENSMUSG00000108704	Gm44636	7	35282493	35283247	1
ENSMUSG00000107464	Gm44150	6	131084231	131104337	-1
ENSMUSG00000108052	Gm8479	6	65328105	65329174	1
ENSMUSG00000096664	Gm3409	5	146537647	146540427	1
ENSMUSG00000085555	2610035F20Rik	14	122470284	122475199	-1
ENSMUSG00000107941	Gm44010	6	115109339	115109669	1
ENSMUSG00000110444	RP23-114B10.6	8	69366510	69395539	-1
ENSMUSG00000082961	Gm15131	X	150707021	150707615	-1
ENSMUSG00000108054	Gm44149	6	131071820	131072045	1
ENSMUSG00000092604	Gm20508	17	35991867	35993738	1
ENSMUSG00000048661	Lemd3	10	120923413	120979332	-1
ENSMUSG00000026127	Imp4	1	34439851	34449356	1
ENSMUSG00000082495	Gm12570	11	58688073	58689102	-1
ENSMUSG00000103715	4933431K14Rik	9	85749078	85750429	1
ENSMUSG00000082936	Gm16166	10	120928186	120928972	1
ENSMUSG00000107630	Gm44061	6	65272950	65274144	-1
ENSMUSG00000081709	Gm15022	X	135240154	135240899	1
ENSMUSG00000036957	Lrfn3	7	30355489	30362772	-1
ENSMUSG00000079091	Gm3404	5	146525801	146528553	1
ENSMUSG00000032360	Hcrtr2	9	76225880	76323856	-1
ENSMUSG00000076598	Igkv3-7	6	70607437	70608036	1
ENSMUSG00000028550	Atg4c	4	99193934	99259787	1
ENSMUSG00000078787	Cyp2t4	7	27153714	27158668	1
ENSMUSG00000042111	Ccdc115	1	34436670	34439672	-1
ENSMUSG00000028218	Fam92a	4	12153409	12172015	-1
ENSMUSG00000106140	Gm43204	3	36272327	36274660	-1
ENSMUSG00000081396	Gm15132	X	150688145	150688796	1
ENSMUSG00000109049	Gm44599	7	30347645	30353321	-1
ENSMUSG00000101711	Gm28306	1	34439511	34444730	-1
ENSMUSG00000095773	Vmn2r38	7	9073835	9097881	-1
ENSMUSG00000063077	Kif1b	4	149176319	149307693	-1
ENSMUSG00000060240	Cend1	7	141426446	141429491	-1
ENSMUSG00000019936	Epyc	10	97644068	97682454	1
ENSMUSG00000025967	Eef1b2	1	63176825	63180486	1
ENSMUSG00000069823	Olfr1	11	73393010	73399614	-1
ENSMUSG00000092312	Zfp419	7	9058360	9062754	-1
ENSMUSG00000075591	Gm10874	5	138363719	138388287	1
ENSMUSG00000028771	Ptpn12	5	20986645	21055911	-1
ENSMUSG00000080935	Got2-ps1	5	138364260	138365552	-1
ENSMUSG00000096658	Vmn2r39	7	9013875	9030798	-1
ENSMUSG00000058709	Egln2	7	27158658	27166802	-1
ENSMUSG00000106158	Gm43216	5	21031752	21033084	1
ENSMUSG00000020684	Rasl10b	11	83409137	83421039	1
ENSMUSG00000036825	Ssx2ip	3	146404642	146440144	1
ENSMUSG00000084799	Ino80dos	1	63113078	63158290	1
ENSMUSG00000026548	Slamf9	1	172475358	172478575	1
ENSMUSG00000022723	Crybg3	16	59490775	59555752	-1
ENSMUSG00000044768	D1Ertd622e	1	97606318	97662074	-1
ENSMUSG00000106161	Pvrig-ps	5	138359838	138360041	1
ENSMUSG00000041505	Gm3402	5	146514123	146516902	1
ENSMUSG00000029184	Olfr109	17	37458916	37471590	1
ENSMUSG00000051169	Rpusd3	6	113415319	113419340	-1
ENSMUSG00000109713	PVRIG	5	138341961	138343557	1
ENSMUSG00000107944	Gm44280	6	113416472	113419582	1
ENSMUSG00000062963	Ufc1	1	171288563	171295024	-1
ENSMUSG00000081651	Gm15530	16	38685315	38685869	-1
ENSMUSG00000086522	Gm4473	10	120899157	120901888	1
ENSMUSG00000092611	Vmn2r-ps42	7	8954489	8969976	-1
ENSMUSG00000107761	2010008C14Rik	6	125083437	125084029	1
ENSMUSG00000108066	Gm44134	6	131038181	131052469	-1
ENSMUSG00000047613	A430005L14Rik	4	153957237	153961925	1
ENSMUSG00000063808	Gpatch1	7	35276536	35318440	-1
ENSMUSG00000111017	RP23-23P9.3	9	44856437	44859175	-1
ENSMUSG00000073991	Cnbd1	4	18860454	19122526	-1
ENSMUSG00000110773	RP23-23P9.4	9	44877891	44884397	1
ENSMUSG00000087402	Gm11867	4	18407349	18891842	1
ENSMUSG00000031409	Tceal6	X	135208687	135210687	-1
ENSMUSG00000079093	4930449I24Rik	5	146502399	146505183	1
ENSMUSG00000080919	Gm11854	4	18471669	18472114	-1
ENSMUSG00000046691	Chtf8	8	106883863	106893601	-1
ENSMUSG00000083005	Gm12392	4	18964564	18965501	1
ENSMUSG00000050550	Gm11868	4	18844202	18845679	-1
ENSMUSG00000041703	Zic5	14	122456795	122465677	-1
ENSMUSG00000108306	Gm44640	7	27148390	27148636	-1
ENSMUSG00000083660	Gm11853	4	18472189	18474298	1
ENSMUSG00000092310	Gm20509	9	73102470	73117920	1
ENSMUSG00000086272	BC039966	4	153947633	153950503	-1
ENSMUSG00000037190	Cyb561d2	9	107539007	107542193	-1
ENSMUSG00000103739	Gm37653	1	160915324	160918901	1
ENSMUSG00000096527	Gm6370	5	146491363	146494132	1
ENSMUSG00000103846	Gm37809	1	160913472	160914402	1
ENSMUSG00000100585	1700108J01Rik	14	122229905	122233654	-1
ENSMUSG00000046417	Lrrc75a	11	62604884	62648523	-1
ENSMUSG00000097939	Gm8601	10	96476479	96477387	1
ENSMUSG00000035725	Prkx	X	77761411	77796278	-1
ENSMUSG00000085762	Lrrc75aos2	11	62605766	62607748	1
ENSMUSG00000031910	Has3	8	106870242	106884566	1
ENSMUSG00000085390	Gm13115	4	153907386	153908666	1
ENSMUSG00000022799	Arhgap31	16	38598340	38713274	-1
ENSMUSG00000028838	Extl1	4	134356372	134383850	-1
ENSMUSG00000085170	Lrrc75aos1	11	62634704	62638788	1
ENSMUSG00000081699	Gm15213	X	163778229	163778444	-1
ENSMUSG00000094249	Gm20091	10	96408850	96409038	-1
ENSMUSG00000096344	Gm6408	5	146481965	146484704	1
ENSMUSG00000109978	Gm45530	7	8943730	8943954	-1
ENSMUSG00000022724	Mina	16	59471775	59492461	1
ENSMUSG00000092622	Khdc3	9	73101836	73104438	1
ENSMUSG00000092601	Olfr760-ps1	17	37451433	37452230	-1
ENSMUSG00000107582	Gm44133	6	130987148	131003919	-1
ENSMUSG00000102961	Gm19918	1	156678545	156678944	1
ENSMUSG00000020532	Acaca	11	84129672	84401651	1
ENSMUSG00000087480	Gm15910	10	120857629	120863326	1
ENSMUSG00000106678	Gm43457	5	34487314	34489722	1
ENSMUSG00000083150	Gm11852	4	18193531	18193752	1
ENSMUSG00000034486	Gbx2	1	89927956	89931179	-1
